2000-01-03 | Bull | 102.9 / 3.4% | HEAD 3% | TAIL 33% | B/ATR nan
2000-10-26 | Bull | 44.25 / 3.8% | HEAD 35% | TAIL 104% | B/ATR 0.3
2000-10-27 | Bear | 44.69 / -2.8% | HEAD 0% | TAIL 81% | B/ATR 0.2
2000-10-30 | Bull | 46.69 / 4.0% | HEAD 31% | TAIL 4% | B/ATR 0.3
2000-10-31 | Bull | 49.06 / 3.3% | HEAD 64% | TAIL 4% | B/ATR 0.3
2000-11-01 | Bear | 46.75 / -2.1% | HEAD 31% | TAIL 125% | B/ATR 0.2
2000-11-02 | Bear | 47.5 / -1.4% | HEAD 28% | TAIL 217% | B/ATR 0.1
2000-11-03 | Bear | 46.63 / -3.1% | HEAD 0% | TAIL 21% | B/ATR 0.3
2000-11-06 | Bear | 46.38 / -1.3% | HEAD 121% | TAIL 21% | B/ATR 0.1
2000-11-07 | Bear | 44.94 / -3.7% | HEAD 0% | TAIL 17% | B/ATR 0.3
2000-11-08 | Bear | 42.31 / -5.9% | HEAD 26% | TAIL 10% | B/ATR 0.5
2000-11-09 | Bull | 41.88 / 2.0% | HEAD 15% | TAIL 198% | B/ATR 0.1
2000-11-10 | Bear | 38.75 / -3.4% | HEAD 4% | TAIL 0% | B/ATR 0.2
2000-11-13 | Bull | 42.31 / 9.9% | HEAD 23% | TAIL 3% | B/ATR 0.7
2000-11-14 | Bull | 45.69 / 2.7% | HEAD 147% | TAIL 84% | B/ATR 0.2
2000-11-15 | Bull | 48.0 / 2.1% | HEAD 88% | TAIL 75% | B/ATR 0.2
2000-11-16 | Bear | 46.5 / -0.8% | HEAD 163% | TAIL 116% | B/ATR 0.1
2000-11-17 | Bear | 43.75 / -6.0% | HEAD 0% | TAIL 53% | B/ATR 0.5
2000-11-20 | Bear | 42.31 / -2.2% | HEAD 80% | TAIL 139% | B/ATR 0.2
2000-11-21 | Bear | 41.94 / -2.0% | HEAD 57% | TAIL 44% | B/ATR 0.2
2000-11-22 | Bear | 41.69 / -0.6% | HEAD 624% | TAIL 76% | B/ATR 0.0
2000-11-24 | Bull | 44.0 / 2.9% | HEAD 40% | TAIL 20% | B/ATR 0.2
2000-11-27 | Bear | 44.25 / -4.8% | HEAD 3% | TAIL 8% | B/ATR 0.4
2000-11-28 | Bear | 40.5 / -9.9% | HEAD 6% | TAIL 16% | B/ATR 0.8
2000-11-29 | Bear | 39.06 / -3.7% | HEAD 0% | TAIL 33% | B/ATR 0.3
2000-11-30 | Bull | 37.31 / 0.8% | HEAD 242% | TAIL 100% | B/ATR 0.1
2000-12-01 | Bear | 37.81 / -0.3% | HEAD 1492% | TAIL 815% | B/ATR 0.0
2000-12-04 | Bull | 39.63 / 4.3% | HEAD 88% | TAIL 4% | B/ATR 0.3
2000-12-05 | Bull | 45.69 / 13.5% | HEAD 14% | TAIL 0% | B/ATR 1.0
2000-12-06 | Bull | 46.31 / 1.4% | HEAD 192% | TAIL 111% | B/ATR 0.1
2000-12-07 | Bear | 42.88 / -3.6% | HEAD 19% | TAIL 190% | B/ATR 0.3
2000-12-08 | Bull | 49.5 / 4.8% | HEAD 22% | TAIL 56% | B/ATR 0.4
2000-12-11 | Bull | 51.88 / 4.7% | HEAD 48% | TAIL 27% | B/ATR 0.5
2000-12-12 | Bull | 52.81 / 3.0% | HEAD 28% | TAIL 56% | B/ATR 0.3
2000-12-13 | Bear | 48.0 / -6.6% | HEAD 26% | TAIL 0% | B/ATR 0.7
2000-12-14 | Bull | 49.25 / 0.8% | HEAD 441% | TAIL 103% | B/ATR 0.1
2000-12-15 | Bull | 47.0 / 0.0% | HEAD 13800% | TAIL 11200% | B/ATR 0.0
2000-12-18 | Bear | 47.75 / -1.5% | HEAD 67% | TAIL 75% | B/ATR 0.1
2000-12-19 | Bull | 48.0 / 0.0% | HEAD 42500% | TAIL 7500% | B/ATR 0.0
2000-12-20 | Bear | 43.0 / -7.5% | HEAD 4% | TAIL 18% | B/ATR 0.7
2000-12-21 | Bull | 43.88 / 2.2% | HEAD 293% | TAIL 127% | B/ATR 0.2
2000-12-22 | Bull | 47.63 / 5.8% | HEAD 33% | TAIL 2% | B/ATR 0.5
2000-12-26 | Bear | 46.75 / -2.8% | HEAD 28% | TAIL 46% | B/ATR 0.3
2000-12-27 | Bull | 50.0 / 8.7% | HEAD 0% | TAIL 0% | B/ATR 0.8
2000-12-28 | Bull | 49.75 / 0.2% | HEAD 525% | TAIL 833% | B/ATR 0.0
2000-12-29 | Bear | 47.38 / -3.4% | HEAD 56% | TAIL 38% | B/ATR 0.3
2001-01-02 | Bear | 46.31 / -0.7% | HEAD 681% | TAIL 97% | B/ATR 0.1
2001-01-03 | Bull | 50.25 / 12.9% | HEAD 5% | TAIL 34% | B/ATR 1.2
2001-01-04 | Bull | 52.06 / 3.7% | HEAD 141% | TAIL 67% | B/ATR 0.4
2001-01-05 | Bear | 47.31 / -9.1% | HEAD 0% | TAIL 13% | B/ATR 1.0
2001-01-08 | Bear | 47.0 / -0.7% | HEAD 0% | TAIL 665% | B/ATR 0.1
2001-01-09 | Bear | 44.75 / -0.6% | HEAD 152% | TAIL 424% | B/ATR 0.1
2001-01-10 | Bull | 46.44 / 5.4% | HEAD 13% | TAIL 18% | B/ATR 0.5
2001-01-11 | Bull | 49.63 / 9.4% | HEAD 0% | TAIL 6% | B/ATR 0.9
2001-01-12 | Bear | 47.88 / -2.3% | HEAD 12% | TAIL 73% | B/ATR 0.2
2001-01-16 | Bear | 47.69 / -0.6% | HEAD 0% | TAIL 503% | B/ATR 0.1
2001-01-17 | Bull | 50.56 / 1.6% | HEAD 163% | TAIL 107% | B/ATR 0.2
2001-01-18 | Bull | 51.25 / 3.0% | HEAD 29% | TAIL 91% | B/ATR 0.3
2001-01-19 | Bear | 50.31 / -3.1% | HEAD 34% | TAIL 34% | B/ATR 0.3
2001-01-22 | Bear | 48.56 / -1.7% | HEAD 52% | TAIL 190% | B/ATR 0.2
2001-01-23 | Bear | 45.0 / -0.8% | HEAD 163% | TAIL 263% | B/ATR 0.1
2001-01-24 | Bear | 43.5 / -4.0% | HEAD 24% | TAIL 28% | B/ATR 0.4
2001-01-25 | Bear | 42.06 / -2.5% | HEAD 35% | TAIL 0% | B/ATR 0.2
2001-01-26 | Bull | 41.5 / 0.6% | HEAD 100% | TAIL 248% | B/ATR 0.1
2001-01-29 | Bull | 43.95 / 5.9% | HEAD 4% | TAIL 60% | B/ATR 0.5
2001-01-30 | Bull | 44.73 / 3.5% | HEAD 37% | TAIL 0% | B/ATR 0.3
2001-01-31 | Bear | 43.8 / -0.9% | HEAD 442% | TAIL 0% | B/ATR 0.1
2001-02-01 | Bear | 43.71 / -0.7% | HEAD 328% | TAIL 372% | B/ATR 0.1
2001-02-02 | Bear | 43.08 / -3.1% | HEAD 39% | TAIL 1% | B/ATR 0.3
2001-02-05 | Bear | 41.01 / -2.4% | HEAD 85% | TAIL 95% | B/ATR 0.2
2001-02-06 | Bear | 41.01 / -1.2% | HEAD 179% | TAIL 2% | B/ATR 0.1
2001-02-07 | Bear | 39.0 / -4.3% | HEAD 70% | TAIL 23% | B/ATR 0.4
2001-02-08 | Bear | 38.75 / -2.6% | HEAD 100% | TAIL 0% | B/ATR 0.2
2001-02-09 | Bear | 37.33 / -3.7% | HEAD 1% | TAIL 23% | B/ATR 0.3
2001-02-12 | Bull | 37.7 / 1.3% | HEAD 182% | TAIL 240% | B/ATR 0.1
2001-02-13 | Bear | 37.41 / -0.8% | HEAD 263% | TAIL 27% | B/ATR 0.1
2001-02-14 | Bull | 38.75 / 3.6% | HEAD 75% | TAIL 38% | B/ATR 0.3
