2000-01-03 | Bull | 102.9 / 3.4% | HEAD 3% | TAIL 33% | B/ATR nan
2004-10-07 | Bear | 22.79 / -1.4% | HEAD 24% | TAIL 27% | B/ATR 0.4
2004-10-08 | Bear | 22.05 / -2.0% | HEAD 9% | TAIL 67% | B/ATR 0.5
2004-10-11 | Bull | 21.89 / 1.3% | HEAD 41% | TAIL 103% | B/ATR 0.3
2004-10-12 | Bear | 21.3 / -0.6% | HEAD 115% | TAIL 185% | B/ATR 0.1
2004-10-13 | Bear | 21.73 / -0.8% | HEAD 165% | TAIL 12% | B/ATR 0.2
2004-10-14 | Bear | 21.38 / -2.8% | HEAD 0% | TAIL 18% | B/ATR 0.7
2004-10-15 | Bear | 21.22 / -1.7% | HEAD 43% | TAIL 24% | B/ATR 0.4
2004-10-18 | Bull | 21.09 / 0.2% | HEAD 50% | TAIL 1225% | B/ATR 0.0
2004-10-19 | Bull | 22.55 / 1.1% | HEAD 156% | TAIL 32% | B/ATR 0.3
2004-10-20 | Bull | 22.87 / 3.5% | HEAD 10% | TAIL 1% | B/ATR 0.9
2004-10-21 | Bear | 23.05 / -0.2% | HEAD 775% | TAIL 1300% | B/ATR 0.0
2004-10-22 | Bear | 22.31 / -3.2% | HEAD 16% | TAIL 34% | B/ATR 0.8
2004-10-25 | Bear | 22.47 / -1.4% | HEAD 27% | TAIL 3% | B/ATR 0.4
2004-10-26 | Bull | 22.89 / 0.6% | HEAD 43% | TAIL 350% | B/ATR 0.2
2004-10-27 | Bull | 23.77 / 3.8% | HEAD 19% | TAIL 11% | B/ATR 1.0
2004-10-28 | Bull | 24.34 / 1.7% | HEAD 146% | TAIL 34% | B/ATR 0.5
2004-10-29 | Bull | 24.45 / 0.6% | HEAD 73% | TAIL 113% | B/ATR 0.2
2004-11-01 | Bull | 24.82 / 1.8% | HEAD 33% | TAIL 4% | B/ATR 0.5
2004-11-02 | Bear | 24.3 / -1.6% | HEAD 25% | TAIL 68% | B/ATR 0.5
2004-11-03 | Bear | 23.92 / -3.4% | HEAD 27% | TAIL 21% | B/ATR 1.0
2004-11-04 | Bull | 24.26 / 3.3% | HEAD 44% | TAIL 0% | B/ATR 0.9
2004-11-05 | Bull | 24.7 / 0.4% | HEAD 250% | TAIL 240% | B/ATR 0.1
2004-11-08 | Bull | 24.74 / 0.2% | HEAD 250% | TAIL 133% | B/ATR 0.1
2004-11-09 | Bull | 24.75 / 0.1% | HEAD 833% | TAIL 1267% | B/ATR 0.0
2004-11-10 | Bear | 23.97 / -2.7% | HEAD 5% | TAIL 29% | B/ATR 0.8
2004-11-11 | Bull | 24.27 / 0.0% | HEAD 2200% | TAIL 2500% | B/ATR 0.0
2004-11-12 | Bull | 24.69 / 1.2% | HEAD 3% | TAIL 123% | B/ATR 0.3
2004-11-15 | Bull | 24.82 / 1.0% | HEAD 48% | TAIL 108% | B/ATR 0.3
2004-11-16 | Bear | 24.43 / -0.7% | HEAD 56% | TAIL 106% | B/ATR 0.2
2004-11-17 | Bull | 25.21 / 1.9% | HEAD 30% | TAIL 18% | B/ATR 0.5
2004-11-18 | Bull | 25.36 / 1.4% | HEAD 22% | TAIL 44% | B/ATR 0.4
2004-11-19 | Bear | 24.75 / -2.4% | HEAD 2% | TAIL 5% | B/ATR 0.7
2004-11-22 | Bear | 24.55 / -0.6% | HEAD 0% | TAIL 286% | B/ATR 0.2
2004-11-23 | Bear | 24.33 / -1.0% | HEAD 50% | TAIL 96% | B/ATR 0.3
2004-11-24 | Bull | 24.63 / 0.4% | HEAD 122% | TAIL 122% | B/ATR 0.1
2004-11-26 | Bear | 24.59 / -0.2% | HEAD 675% | TAIL 0% | B/ATR 0.0
2004-11-29 | Bear | 24.57 / -1.5% | HEAD 37% | TAIL 50% | B/ATR 0.4
2004-11-30 | Bear | 24.18 / -2.2% | HEAD 6% | TAIL 2% | B/ATR 0.6
2004-12-01 | Bull | 25.18 / 3.6% | HEAD 7% | TAIL 1% | B/ATR 1.0
2004-12-02 | Bear | 24.91 / -0.1% | HEAD 3400% | TAIL 1000% | B/ATR 0.0
2004-12-03 | Bear | 25.1 / -2.0% | HEAD 56% | TAIL 14% | B/ATR 0.6
2004-12-06 | Bear | 25.29 / -0.0% | HEAD 3400% | TAIL 4900% | B/ATR 0.0
2004-12-07 | Bear | 25.02 / -1.9% | HEAD 52% | TAIL 4% | B/ATR 0.6
2004-12-08 | Bear | 24.05 / -2.0% | HEAD 10% | TAIL 4% | B/ATR 0.6
2004-12-09 | Bear | 23.7 / -0.4% | HEAD 230% | TAIL 410% | B/ATR 0.1
2004-12-10 | Bull | 23.63 / 0.3% | HEAD 375% | TAIL 188% | B/ATR 0.1
2004-12-13 | Bear | 23.69 / -0.8% | HEAD 0% | TAIL 168% | B/ATR 0.2
2004-12-14 | Bull | 24.34 / 2.3% | HEAD 26% | TAIL 17% | B/ATR 0.6
2004-12-15 | Bull | 24.42 / 1.1% | HEAD 59% | TAIL 11% | B/ATR 0.3
2004-12-16 | Bear | 24.03 / -1.6% | HEAD 48% | TAIL 23% | B/ATR 0.5
2004-12-17 | Bull | 23.44 / 1.4% | HEAD 175% | TAIL 0% | B/ATR 0.4
2004-12-20 | Bear | 23.4 / -0.6% | HEAD 200% | TAIL 140% | B/ATR 0.2
2004-12-21 | Bull | 23.63 / 0.6% | HEAD 115% | TAIL 108% | B/ATR 0.2
2004-12-22 | Bull | 23.89 / 0.6% | HEAD 71% | TAIL 71% | B/ATR 0.2
2004-12-23 | Bull | 23.86 / 0.2% | HEAD 440% | TAIL 0% | B/ATR 0.1
2004-12-27 | Bear | 23.8 / -0.7% | HEAD 71% | TAIL 47% | B/ATR 0.2
2004-12-28 | Bull | 23.9 / 0.6% | HEAD 87% | TAIL 73% | B/ATR 0.2
2004-12-29 | Bull | 24.33 / 1.3% | HEAD 48% | TAIL 0% | B/ATR 0.4
2004-12-30 | Bull | 24.45 / 0.2% | HEAD 450% | TAIL 150% | B/ATR 0.0
2004-12-31 | Bull | 24.62 / 0.4% | HEAD 120% | TAIL 50% | B/ATR 0.1
2005-01-03 | Bear | 24.18 / -3.0% | HEAD 5% | TAIL 12% | B/ATR 0.9
2005-01-04 | Bear | 23.6 / -2.4% | HEAD 20% | TAIL 78% | B/ATR 0.7
2005-01-05 | Bear | 22.89 / -2.6% | HEAD 15% | TAIL 23% | B/ATR 0.8
2005-01-06 | Bear | 22.8 / -0.8% | HEAD 67% | TAIL 83% | B/ATR 0.2
2005-01-07 | Bear | 22.92 / -0.3% | HEAD 325% | TAIL 350% | B/ATR 0.1
2005-01-10 | Bear | 22.61 / -0.8% | HEAD 167% | TAIL 61% | B/ATR 0.2
2005-01-11 | Bear | 22.37 / -0.0% | HEAD 2300% | TAIL 2700% | B/ATR 0.0
2005-01-12 | Bear | 22.39 / -0.6% | HEAD 138% | TAIL 254% | B/ATR 0.2
2005-01-13 | Bear | 22.2 / -0.8% | HEAD 11% | TAIL 167% | B/ATR 0.2
2005-01-14 | Bull | 22.47 / 1.0% | HEAD 109% | TAIL 0% | B/ATR 0.3
2005-01-18 | Bull | 22.5 / 1.1% | HEAD 33% | TAIL 13% | B/ATR 0.3
2005-01-19 | Bear | 21.92 / -3.5% | HEAD 1% | TAIL 4% | B/ATR 1.0
2005-01-20 | Bear | 21.38 / -1.3% | HEAD 62% | TAIL 48% | B/ATR 0.4
2005-01-21 | Bear | 21.03 / -1.6% | HEAD 77% | TAIL 20% | B/ATR 0.5
2005-01-24 | Bear | 20.77 / -1.8% | HEAD 46% | TAIL 19% | B/ATR 0.5
2005-01-25 | Bull | 21.12 / 0.6% | HEAD 142% | TAIL 0% | B/ATR 0.2
2005-01-26 | Bull | 22.66 / 3.3% | HEAD 40% | TAIL 19% | B/ATR 0.9
2005-01-27 | Bull | 22.88 / 1.1% | HEAD 33% | TAIL 50% | B/ATR 0.3
2005-01-28 | Bull | 23.11 / 1.5% | HEAD 44% | TAIL 0% | B/ATR 0.4
2005-01-31 | Bear | 23.21 / -0.5% | HEAD 118% | TAIL 200% | B/ATR 0.1
2005-02-01 | Bull | 23.58 / 2.0% | HEAD 24% | TAIL 0% | B/ATR 0.6
2005-02-02 | Bear | 23.49 / -0.4% | HEAD 20% | TAIL 290% | B/ATR 0.1
2005-02-03 | Bear | 23.13 / -0.5% | HEAD 142% | TAIL 208% | B/ATR 0.2
2005-02-04 | Bull | 24.8 / 5.4% | HEAD 0% | TAIL 12% | B/ATR 1.7
2005-02-07 | Bull | 24.7 / 0.4% | HEAD 280% | TAIL 50% | B/ATR 0.1
2005-02-08 | Bull | 25.35 / 2.6% | HEAD 32% | TAIL 12% | B/ATR 0.9
2005-02-09 | Bear | 24.63 / -2.8% | HEAD 1% | TAIL 15% | B/ATR 1.0
2005-02-10 | Bull | 24.91 / 0.4% | HEAD 336% | TAIL 409% | B/ATR 0.1
2005-02-11 | Bull | 25.86 / 3.5% | HEAD 14% | TAIL 22% | B/ATR 1.2
2005-02-14 | Bull | 25.95 / 0.7% | HEAD 44% | TAIL 106% | B/ATR 0.2
2005-02-15 | Bull | 26.04 / 0.3% | HEAD 378% | TAIL 244% | B/ATR 0.1
2005-02-16 | Bull | 26.09 / 0.3% | HEAD 389% | TAIL 544% | B/ATR 0.1
2005-02-17 | Bear | 25.48 / -2.7% | HEAD 3% | TAIL 6% | B/ATR 1.0
2005-02-18 | Bear | 25.32 / -0.1% | HEAD 867% | TAIL 700% | B/ATR 0.0
2005-02-22 | Bull | 25.57 / 2.2% | HEAD 93% | TAIL 0% | B/ATR 0.7
2005-02-23 | Bear | 25.47 / -0.5% | HEAD 258% | TAIL 350% | B/ATR 0.2
2005-02-24 | Bull | 25.96 / 2.3% | HEAD 24% | TAIL 17% | B/ATR 0.8
2005-02-25 | Bull | 26.7 / 2.7% | HEAD 26% | TAIL 7% | B/ATR 0.9
2005-02-28 | Bear | 26.47 / -0.9% | HEAD 309% | TAIL 26% | B/ATR 0.3
2005-03-01 | Bull | 27.15 / 0.9% | HEAD 64% | TAIL 18% | B/ATR 0.3
2005-03-02 | Bull | 26.97 / 0.3% | HEAD 571% | TAIL 229% | B/ATR 0.1
2005-03-03 | Bear | 26.58 / -1.6% | HEAD 36% | TAIL 55% | B/ATR 0.6
2005-03-04 | Bull | 26.89 / 0.0% | HEAD 2100% | TAIL 3900% | B/ATR 0.0
2005-03-07 | Bull | 27.37 / 1.9% | HEAD 82% | TAIL 8% | B/ATR 0.7
2005-03-08 | Bear | 26.34 / -0.9% | HEAD 233% | TAIL 38% | B/ATR 0.3
2005-03-09 | Bull | 26.64 / 1.1% | HEAD 80% | TAIL 0% | B/ATR 0.4
2005-03-10 | Bull | 27.08 / 0.7% | HEAD 105% | TAIL 130% | B/ATR 0.3
2005-03-11 | Bear | 26.2 / -3.3% | HEAD 7% | TAIL 13% | B/ATR 1.2
2005-03-14 | Bull | 26.26 / 0.3% | HEAD 100% | TAIL 375% | B/ATR 0.1
2005-03-15 | Bear | 25.72 / -1.8% | HEAD 35% | TAIL 22% | B/ATR 0.6
2005-03-16 | Bear | 25.45 / -0.5% | HEAD 467% | TAIL 133% | B/ATR 0.2
2005-03-17 | Bull | 25.64 / 0.4% | HEAD 256% | TAIL 167% | B/ATR 0.1
2005-03-18 | Bear | 25.44 / -1.0% | HEAD 0% | TAIL 177% | B/ATR 0.3
2005-03-21 | Bear | 25.22 / -0.8% | HEAD 86% | TAIL 62% | B/ATR 0.3
2005-03-22 | Bear | 25.0 / -2.1% | HEAD 37% | TAIL 0% | B/ATR 0.7
2005-03-23 | Bull | 25.34 / 1.7% | HEAD 55% | TAIL 10% | B/ATR 0.6
2005-03-24 | Bull | 25.51 / 0.3% | HEAD 325% | TAIL 87% | B/ATR 0.1
2005-03-28 | Bear | 25.49 / -0.1% | HEAD 1433% | TAIL 100% | B/ATR 0.0
2005-03-29 | Bear | 25.18 / -0.7% | HEAD 171% | TAIL 76% | B/ATR 0.2
2005-03-30 | Bull | 25.75 / 5.1% | HEAD 6% | TAIL 0% | B/ATR 1.7
2005-03-31 | Bear | 25.49 / -1.0% | HEAD 0% | TAIL 73% | B/ATR 0.3
2005-04-01 | Bear | 24.96 / -3.2% | HEAD 1% | TAIL 9% | B/ATR 1.1
2005-04-04 | Bull | 24.85 / 0.8% | HEAD 325% | TAIL 85% | B/ATR 0.3
2005-04-05 | Bull | 24.87 / 0.2% | HEAD 640% | TAIL 180% | B/ATR 0.1
2005-04-06 | Bear | 24.73 / -1.0% | HEAD 88% | TAIL 15% | B/ATR 0.4
2005-04-07 | Bull | 25.07 / 0.9% | HEAD 64% | TAIL 132% | B/ATR 0.3
2005-04-08 | Bear | 24.91 / -1.0% | HEAD 46% | TAIL 4% | B/ATR 0.4
2005-04-11 | Bear | 24.7 / -1.1% | HEAD 32% | TAIL 18% | B/ATR 0.4
2005-04-12 | Bear | 24.22 / -1.9% | HEAD 13% | TAIL 157% | B/ATR 0.6
2005-04-13 | Bear | 23.64 / -1.6% | HEAD 8% | TAIL 3% | B/ATR 0.5
2005-04-14 | Bear | 23.39 / -0.7% | HEAD 124% | TAIL 47% | B/ATR 0.2
2005-04-15 | Bear | 22.76 / -1.7% | HEAD 5% | TAIL 53% | B/ATR 0.5
2005-04-18 | Bull | 22.92 / 1.8% | HEAD 95% | TAIL 0% | B/ATR 0.6
2005-04-19 | Bear | 24.17 / -0.6% | HEAD 420% | TAIL 100% | B/ATR 0.2
2005-04-20 | Bear | 24.02 / -1.2% | HEAD 36% | TAIL 93% | B/ATR 0.4
2005-04-21 | Bull | 24.77 / 1.4% | HEAD 36% | TAIL 76% | B/ATR 0.4
2005-04-22 | Bear | 24.42 / -1.1% | HEAD 12% | TAIL 112% | B/ATR 0.4
2005-04-25 | Bull | 24.62 / 0.6% | HEAD 93% | TAIL 64% | B/ATR 0.2
2005-04-26 | Bull | 24.54 / 0.1% | HEAD 3300% | TAIL 850% | B/ATR 0.0
2005-04-27 | Bull | 24.71 / 0.9% | HEAD 17% | TAIL 100% | B/ATR 0.3
2005-04-28 | Bull | 24.61 / 0.3% | HEAD 525% | TAIL 150% | B/ATR 0.1
2005-04-29 | Bull | 24.96 / 0.6% | HEAD 19% | TAIL 219% | B/ATR 0.2
2005-05-02 | Bull | 25.13 / 0.5% | HEAD 92% | TAIL 54% | B/ATR 0.2
2005-05-03 | Bull | 25.2 / 0.6% | HEAD 120% | TAIL 20% | B/ATR 0.2
2005-05-04 | Bull | 25.78 / 1.5% | HEAD 41% | TAIL 31% | B/ATR 0.5
2005-05-05 | Bear | 26.04 / -0.2% | HEAD 160% | TAIL 700% | B/ATR 0.1
2005-05-06 | Bull | 26.41 / 0.8% | HEAD 59% | TAIL 50% | B/ATR 0.3
2005-05-09 | Bull | 26.39 / 0.6% | HEAD 12% | TAIL 137% | B/ATR 0.2
2005-05-10 | Bear | 25.88 / -1.6% | HEAD 2% | TAIL 48% | B/ATR 0.6
2005-05-11 | Bull | 26.1 / 0.7% | HEAD 16% | TAIL 289% | B/ATR 0.3
2005-05-12 | Bull | 26.32 / 1.2% | HEAD 106% | TAIL 0% | B/ATR 0.4
2005-05-13 | Bull | 26.5 / 0.1% | HEAD 1200% | TAIL 650% | B/ATR 0.0
2005-05-16 | Bull | 26.96 / 1.7% | HEAD 57% | TAIL 33% | B/ATR 0.6
2005-05-17 | Bull | 27.41 / 1.5% | HEAD 7% | TAIL 27% | B/ATR 0.6
2005-05-18 | Bull | 27.56 / 0.7% | HEAD 106% | TAIL 117% | B/ATR 0.2
2005-05-19 | Bear | 27.38 / -0.6% | HEAD 200% | TAIL 131% | B/ATR 0.2
2005-05-20 | Bull | 27.7 / 0.8% | HEAD 50% | TAIL 114% | B/ATR 0.3
2005-05-23 | Bear | 27.38 / -0.5% | HEAD 129% | TAIL 79% | B/ATR 0.2
2005-05-24 | Bull | 27.53 / 1.5% | HEAD 19% | TAIL 10% | B/ATR 0.6
2005-05-25 | Bull | 27.49 / 0.1% | HEAD 150% | TAIL 900% | B/ATR 0.1
2005-05-26 | Bull | 27.95 / 1.3% | HEAD 34% | TAIL 0% | B/ATR 0.5
2005-05-27 | Bear | 27.75 / -0.5% | HEAD 15% | TAIL 254% | B/ATR 0.2
2005-05-31 | Bull | 27.64 / 0.1% | HEAD 600% | TAIL 150% | B/ATR 0.1
2005-06-01 | Bull | 27.64 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 0.0
2005-06-02 | Bull | 28.04 / 1.0% | HEAD 7% | TAIL 41% | B/ATR 0.4
2005-06-03 | Bull | 27.98 / 0.2% | HEAD 350% | TAIL 333% | B/ATR 0.1
2005-06-06 | Bear | 27.75 / -0.5% | HEAD 36% | TAIL 150% | B/ATR 0.2
2005-06-07 | Bear | 27.28 / -2.2% | HEAD 58% | TAIL 24% | B/ATR 0.9
2005-06-08 | Bull | 27.9 / 0.1% | HEAD 1500% | TAIL 1550% | B/ATR 0.0
2005-06-09 | Bear | 28.03 / -0.1% | HEAD 450% | TAIL 2550% | B/ATR 0.0
2005-06-10 | Bear | 27.38 / -2.1% | HEAD 0% | TAIL 47% | B/ATR 0.8
2005-06-13 | Bull | 27.35 / 0.4% | HEAD 375% | TAIL 50% | B/ATR 0.2
2005-06-14 | Bear | 27.02 / -1.0% | HEAD 64% | TAIL 14% | B/ATR 0.4
2005-06-15 | Bull | 27.14 / 0.4% | HEAD 58% | TAIL 267% | B/ATR 0.2
2005-06-16 | Bull | 27.22 / 1.0% | HEAD 69% | TAIL 0% | B/ATR 0.4
2005-06-17 | Bull | 27.32 / 0.2% | HEAD 300% | TAIL 117% | B/ATR 0.1
2005-06-20 | Bull | 27.64 / 1.8% | HEAD 42% | TAIL 8% | B/ATR 0.7
2005-06-21 | Bull | 28.0 / 1.4% | HEAD 8% | TAIL 3% | B/ATR 0.6
2005-06-22 | Bull | 28.34 / 1.0% | HEAD 11% | TAIL 33% | B/ATR 0.4
2005-06-23 | Bear | 28.22 / -0.7% | HEAD 380% | TAIL 15% | B/ATR 0.3
2005-06-24 | Bear | 28.01 / -1.0% | HEAD 14% | TAIL 55% | B/ATR 0.4
2005-06-27 | Bear | 27.53 / -1.6% | HEAD 13% | TAIL 20% | B/ATR 0.7
2005-06-28 | Bull | 28.26 / 1.9% | HEAD 64% | TAIL 6% | B/ATR 0.8
2005-06-29 | Bear | 28.22 / -0.1% | HEAD 1400% | TAIL 1000% | B/ATR 0.0
2005-06-30 | Bear | 28.07 / -0.3% | HEAD 313% | TAIL 88% | B/ATR 0.1
2005-07-01 | Bear | 28.03 / -0.1% | HEAD 1250% | TAIL 700% | B/ATR 0.0
2005-07-05 | Bull | 28.94 / 2.6% | HEAD 4% | TAIL 128% | B/ATR 1.1
2005-07-06 | Bull | 29.2 / 0.8% | HEAD 118% | TAIL 27% | B/ATR 0.3
2005-07-07 | Bull | 29.4 / 1.9% | HEAD 0% | TAIL 29% | B/ATR 0.8
2005-07-08 | Bull | 29.75 / 1.2% | HEAD 9% | TAIL 40% | B/ATR 0.5
2005-07-11 | Bull | 30.65 / 2.5% | HEAD 5% | TAIL 31% | B/ATR 1.1
2005-07-12 | Bull | 30.59 / 0.3% | HEAD 133% | TAIL 433% | B/ATR 0.1
2005-07-13 | Bull | 30.63 / 0.4% | HEAD 15% | TAIL 277% | B/ATR 0.2
2005-07-14 | Bear | 30.77 / -0.3% | HEAD 262% | TAIL 200% | B/ATR 0.1
2005-07-15 | Bull | 30.76 / 0.5% | HEAD 44% | TAIL 163% | B/ATR 0.2
2005-07-18 | Bull | 30.99 / 1.2% | HEAD 8% | TAIL 36% | B/ATR 0.5
2005-07-19 | Bull | 31.18 / 0.6% | HEAD 39% | TAIL 67% | B/ATR 0.3
2005-07-20 | Bull | 31.5 / 2.6% | HEAD 1% | TAIL 24% | B/ATR 1.2
2005-07-21 | Bear | 30.88 / -1.3% | HEAD 10% | TAIL 67% | B/ATR 0.6
2005-07-22 | Bear | 30.76 / -0.5% | HEAD 162% | TAIL 206% | B/ATR 0.2
2005-07-25 | Bear | 30.6 / -1.3% | HEAD 18% | TAIL 10% | B/ATR 0.6
2005-07-26 | Bull | 32.3 / 1.1% | HEAD 61% | TAIL 92% | B/ATR 0.5
2005-07-27 | Bear | 31.8 / -1.5% | HEAD 18% | TAIL 54% | B/ATR 0.8
2005-07-28 | Bull | 31.71 / 0.5% | HEAD 88% | TAIL 219% | B/ATR 0.2
2005-07-29 | Bull | 31.76 / 0.5% | HEAD 193% | TAIL 173% | B/ATR 0.2
2005-08-01 | Bear | 31.89 / -0.3% | HEAD 156% | TAIL 133% | B/ATR 0.1
2005-08-02 | Bull | 32.66 / 1.7% | HEAD 14% | TAIL 18% | B/ATR 0.8
2005-08-03 | Bull | 32.5 / 0.5% | HEAD 240% | TAIL 0% | B/ATR 0.2
2005-08-04 | Bear | 31.9 / -1.0% | HEAD 30% | TAIL 30% | B/ATR 0.5
2005-08-05 | Bear | 31.31 / -1.8% | HEAD 7% | TAIL 22% | B/ATR 0.9
2005-08-08 | Bull | 31.53 / 0.4% | HEAD 208% | TAIL 100% | B/ATR 0.2
2005-08-09 | Bull | 32.51 / 3.0% | HEAD 14% | TAIL 2% | B/ATR 1.4
2005-08-10 | Bull | 32.53 / 0.4% | HEAD 392% | TAIL 42% | B/ATR 0.2
2005-08-11 | Bull | 32.72 / 1.2% | HEAD 8% | TAIL 43% | B/ATR 0.6
2005-08-12 | Bear | 31.79 / -2.2% | HEAD 0% | TAIL 13% | B/ATR 1.1
2005-08-15 | Bull | 32.2 / 1.7% | HEAD 36% | TAIL 19% | B/ATR 0.8
2005-08-16 | Bear | 31.89 / -0.3% | HEAD 82% | TAIL 91% | B/ATR 0.2
2005-08-17 | Bull | 32.19 / 0.9% | HEAD 77% | TAIL 0% | B/ATR 0.4
2005-08-18 | Bear | 31.53 / -1.6% | HEAD 4% | TAIL 2% | B/ATR 0.8
2005-08-19 | Bear | 31.16 / -1.7% | HEAD 2% | TAIL 9% | B/ATR 0.8
2005-08-22 | Bull | 31.95 / 2.2% | HEAD 7% | TAIL 0% | B/ATR 1.0
2005-08-23 | Bull | 32.0 / 0.3% | HEAD 330% | TAIL 210% | B/ATR 0.1
2005-08-24 | Bull | 32.18 / 0.3% | HEAD 536% | TAIL 255% | B/ATR 0.2
2005-08-25 | Bull | 32.32 / 0.2% | HEAD 486% | TAIL 100% | B/ATR 0.1
2005-08-26 | Bear | 32.06 / -0.3% | HEAD 118% | TAIL 218% | B/ATR 0.2
2005-08-29 | Bull | 32.51 / 1.9% | HEAD 15% | TAIL 5% | B/ATR 0.9
2005-08-30 | Bear | 32.17 / -0.3% | HEAD 120% | TAIL 280% | B/ATR 0.1
2005-08-31 | Bull | 32.68 / 1.4% | HEAD 18% | TAIL 45% | B/ATR 0.7
2005-09-01 | Bull | 32.76 / 0.5% | HEAD 250% | TAIL 25% | B/ATR 0.2
2005-09-02 | Bear | 32.5 / -1.4% | HEAD 11% | TAIL 18% | B/ATR 0.7
2005-09-06 | Bull | 33.17 / 1.7% | HEAD 2% | TAIL 0% | B/ATR 0.8
2005-09-07 | Bull | 33.3 / 0.7% | HEAD 108% | TAIL 75% | B/ATR 0.4
2005-09-08 | Bull | 33.75 / 1.1% | HEAD 73% | TAIL 16% | B/ATR 0.5
2005-09-09 | Bear | 33.74 / -1.5% | HEAD 49% | TAIL 0% | B/ATR 0.8
2005-09-12 | Bear | 33.11 / -2.2% | HEAD 14% | TAIL 8% | B/ATR 1.1
2005-09-13 | Bull | 33.96 / 1.3% | HEAD 29% | TAIL 45% | B/ATR 0.6
2005-09-14 | Bear | 33.95 / -0.9% | HEAD 63% | TAIL 50% | B/ATR 0.4
2005-09-15 | Bear | 33.06 / -2.8% | HEAD 23% | TAIL 4% | B/ATR 1.4
2005-09-16 | Bear | 32.8 / -1.5% | HEAD 12% | TAIL 25% | B/ATR 0.8
2005-09-19 | Bull | 32.77 / 0.2% | HEAD 420% | TAIL 180% | B/ATR 0.1
2005-09-20 | Bear | 32.7 / -0.4% | HEAD 323% | TAIL 54% | B/ATR 0.2
2005-09-21 | Bear | 32.19 / -1.1% | HEAD 0% | TAIL 78% | B/ATR 0.5
2005-09-22 | Bull | 32.73 / 1.7% | HEAD 67% | TAIL 43% | B/ATR 0.8
2005-09-23 | Bull | 33.9 / 3.8% | HEAD 6% | TAIL 15% | B/ATR 1.8
2005-09-26 | Bear | 33.77 / -0.6% | HEAD 79% | TAIL 147% | B/ATR 0.3
2005-09-27 | Bear | 32.92 / -2.1% | HEAD 4% | TAIL 40% | B/ATR 1.0
2005-09-28 | Bear | 32.84 / -0.2% | HEAD 475% | TAIL 500% | B/ATR 0.1
2005-09-29 | Bull | 33.18 / 1.3% | HEAD 110% | TAIL 83% | B/ATR 0.6
2005-09-30 | Bull | 33.9 / 2.2% | HEAD 21% | TAIL 0% | B/ATR 1.0
2005-10-03 | Bear | 33.88 / -0.4% | HEAD 567% | TAIL 42% | B/ATR 0.2
2005-10-04 | Bear | 32.01 / -3.7% | HEAD 0% | TAIL 3% | B/ATR 1.8
2005-10-05 | Bear | 31.39 / -1.9% | HEAD 43% | TAIL 51% | B/ATR 0.9
2005-10-06 | Bear | 30.53 / -2.7% | HEAD 13% | TAIL 50% | B/ATR 1.2
2005-10-07 | Bear | 30.63 / -1.2% | HEAD 24% | TAIL 49% | B/ATR 0.5
2005-10-10 | Bear | 30.06 / -1.8% | HEAD 22% | TAIL 4% | B/ATR 0.8
2005-10-11 | Bear | 29.37 / -2.4% | HEAD 59% | TAIL 24% | B/ATR 1.0
2005-10-12 | Bull | 30.1 / 2.9% | HEAD 16% | TAIL 3% | B/ATR 1.2
2005-10-13 | Bull | 30.89 / 2.3% | HEAD 20% | TAIL 114% | B/ATR 1.0
2005-10-14 | Bear | 29.93 / -1.9% | HEAD 65% | TAIL 70% | B/ATR 0.8
2005-10-17 | Bear | 29.77 / -0.9% | HEAD 54% | TAIL 50% | B/ATR 0.4
2005-10-18 | Bull | 29.8 / 0.6% | HEAD 63% | TAIL 126% | B/ATR 0.3
2005-10-19 | Bull | 30.07 / 1.9% | HEAD 9% | TAIL 111% | B/ATR 0.8
2005-10-20 | Bear | 29.77 / -1.4% | HEAD 81% | TAIL 26% | B/ATR 0.6
2005-10-21 | Bear | 30.52 / -0.1% | HEAD 0% | TAIL 3267% | B/ATR 0.0
2005-10-24 | Bull | 30.92 / 0.9% | HEAD 29% | TAIL 179% | B/ATR 0.4
2005-10-25 | Bear | 28.55 / -1.5% | HEAD 128% | TAIL 67% | B/ATR 0.6
2005-10-26 | Bear | 28.23 / -0.9% | HEAD 93% | TAIL 30% | B/ATR 0.4
2005-10-27 | Bear | 27.47 / -2.6% | HEAD 5% | TAIL 44% | B/ATR 1.0
2005-10-28 | Bull | 28.0 / 1.6% | HEAD 5% | TAIL 45% | B/ATR 0.6
2005-10-31 | Bull | 28.55 / 1.3% | HEAD 39% | TAIL 3% | B/ATR 0.5
2005-11-01 | Bull | 28.55 / 0.9% | HEAD 4% | TAIL 80% | B/ATR 0.3
2005-11-02 | Bull | 29.64 / 2.9% | HEAD 43% | TAIL 33% | B/ATR 1.1
2005-11-03 | Bull | 30.81 / 2.7% | HEAD 6% | TAIL 5% | B/ATR 1.0
2005-11-04 | Bull | 30.95 / 0.5% | HEAD 36% | TAIL 221% | B/ATR 0.2
2005-11-07 | Bear | 31.05 / -0.6% | HEAD 95% | TAIL 226% | B/ATR 0.2
2005-11-08 | Bull | 31.13 / 0.0% | HEAD 4000% | TAIL 3800% | B/ATR 0.0
2005-11-09 | Bull | 31.25 / 2.0% | HEAD 15% | TAIL 67% | B/ATR 0.8
2005-11-10 | Bull | 31.62 / 1.5% | HEAD 34% | TAIL 19% | B/ATR 0.6
